neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,availability_365
3,96,1,199,3,4,200
2,92,1,199,3,23,81
2,215,2,70,1,2,363
2,215,2,75,3,0,358
2,92,1,130,4,9,188
3,203,1,150,2,11,2
3,203,2,99,3,14,365
3,95,2,75,3,33,301
3,95,2,75,3,30,322
2,14,2,75,3,13,298
2,52,1,225,4,1,342
3,207,1,115,3,18,31
3,202,1,159,2,32,7
2,42,2,180,3,15,266
3,113,1,106,3,12,271
2,52,1,165,3,12,343
3,95,2,80,1,15,329
3,202,1,121,1,16,351
3,210,2,195,1,7,129
2,152,1,125,5,6,31
2,160,2,77,5,11,365
2,215,2,65,4,30,139
3,95,2,175,2,6,10
2,92,2,120,5,3,242
2,152,1,125,4,23,262
3,95,2,160,3,10,359
3,95,2,180,3,14,348
5,188,2,110,2,6,363
3,207,2,99,3,4,335
4,151,3,45,1,8,364
3,74,1,225,4,27,169
2,92,2,90,2,2,89
4,23,2,75,1,16,189
3,203,2,125,1,25,311
3,95,2,85,3,6,363
2,183,1,250,3,17,5
3,95,2,125,1,0,365
2,215,1,145,3,7,270
2,24,1,75,2,8,2
3,128,1,275,2,16,167
3,74,1,160,1,36,365
3,65,2,125,3,28,364
3,202,2,145,5,2,365
2,215,1,200,3,16,291
3,95,2,58,1,17,289
1,135,2,49,1,23,333
3,203,1,90,4,22,239
3,113,2,100,1,1,6
4,105,2,75,5,30,180
3,120,1,225,4,13,195
3,95,2,75,3,36,47
2,215,1,229,3,12,319
2,215,1,200,3,17,67
2,160,2,110,4,12,330
4,190,2,80,3,1,330
2,14,2,55,2,22,297
2,191,2,50,2,33,20
2,32,2,200,5,0,342
2,152,1,220,3,27,68
3,36,1,165,5,22,316
2,81,1,160,4,2,34
2,183,1,249,3,12,26
2,86,2,80,2,35,189
5,144,2,68,2,11,88
2,215,1,175,2,15,64
3,210,1,130,4,22,77
3,203,1,150,4,2,141
3,202,2,82,3,10,251
4,164,1,69,5,5,4
3,62,2,50,2,16,60
3,76,1,265,3,26,341
2,52,1,275,5,2,357
3,203,1,102,3,36,21
2,215,1,189,4,33,1
3,96,1,195,3,22,59
2,42,2,200,3,2,365
2,160,2,69,4,19,43
2,75,1,90,3,0,157
2,42,1,135,3,28,211
2,92,2,199,1,0,365
3,203,1,210,3,25,347
3,95,1,220,3,33,174
2,152,2,152,2,23,365
2,92,2,150,2,28,72
2,52,2,80,2,5,311
2,14,2,54,2,19,220
4,190,2,100,3,28,188
3,203,1,179,4,12,11
2,42,1,149,2,20,4
4,30,2,55,3,0,365
2,152,2,65,3,31,22
3,96,1,249,3,35,38
4,30,2,45,3,0,365
2,215,1,250,3,25,188
2,14,2,65,3,5,341
3,96,2,90,2,28,358
3,95,1,136,2,15,6
2,81,1,120,3,22,189
3,210,1,165,5,4,87
2,52,1,110,5,3,15
3,65,1,200,6,1,128
5,195,2,71,2,23,352
3,95,2,79,3,9,329
2,215,2,73,6,6,310
2,159,1,150,3,18,68
3,36,1,149,4,12,203
3,35,1,200,3,17,5
2,75,1,140,4,15,365
3,210,2,88,2,2,348
4,5,2,100,2,35,144
3,120,2,167,5,32,341
2,64,2,35,3,13,2
2,42,1,249,4,19,362
2,14,2,68,5,8,281
2,152,1,150,5,1,27
3,179,1,230,2,27,101
2,81,2,80,2,14,364
2,215,2,150,3,32,365
2,160,2,70,5,18,365
2,215,2,69,3,2,284
2,215,2,146,2,8,88
2,52,1,120,3,12,15
3,95,2,79,3,19,365
3,95,1,150,5,17,36
2,14,2,85,5,1,189
3,203,1,195,3,17,26
2,52,1,50,4,8,220
4,5,1,245,6,1,164
2,92,2,52,5,35,1
2,29,2,50,2,27,2
3,65,1,133,2,1,50
3,198,1,259,2,20,17
3,131,1,125,2,7,358
3,95,2,80,3,0,362
3,35,2,155,5,18,90
3,93,1,200,4,11,259
2,42,1,100,2,27,159
2,42,2,50,4,32,347
3,128,1,133,6,22,5
4,5,1,140,5,15,260
3,62,1,50,4,24,25
2,215,3,52,3,19,88
3,62,1,120,3,22,365
2,14,3,200,1,0,365
4,78,2,55,2,31,282
3,65,2,59,4,12,12
2,14,2,75,1,28,365
3,203,1,200,2,8,337
3,38,1,225,3,3,189
2,159,1,195,4,10,95
3,210,1,140,2,34,159
1,73,1,60,1,25,311
2,52,1,150,4,13,15
3,87,1,130,3,26,19
2,152,2,115,2,25,89
2,52,1,250,4,6,250
3,207,2,36,1,33,211
2,92,2,85,2,36,278
2,215,2,79,5,5,198
3,95,2,85,1,1,365
4,110,2,60,3,12,351
2,14,2,79,4,1,359
2,14,1,215,3,1,300
3,113,1,148,5,29,188
4,78,2,57,2,17,308
3,95,2,60,2,33,211
3,95,2,60,2,36,133
3,65,1,121,2,6,156
2,52,2,90,2,24,30
3,95,2,65,5,29,186
2,29,2,42,1,18,60
2,152,1,155,5,22,189
5,195,2,47,1,20,323
3,95,2,69,4,18,280
2,14,2,51,3,36,32
3,87,1,130,3,26,23
3,198,1,235,3,5,177
4,118,2,63,2,26,249
3,35,2,109,3,26,18
3,36,1,150,4,14,18
4,78,2,80,3,8,342
2,42,2,36,1,8,83
2,160,1,140,2,11,35
2,14,1,100,5,15,94
4,78,2,60,2,17,314
3,95,2,65,2,15,361
2,215,2,85,2,35,365
2,215,1,149,5,26,14
3,207,3,100,1,31,364
3,202,1,166,1,15,188
3,93,1,195,2,12,90
3,38,2,100,4,8,7
2,75,1,60,5,3,189
2,75,2,74,1,8,283
2,152,2,62,2,11,158
2,215,1,249,3,31,365
2,86,1,240,2,22,280
3,207,2,150,2,3,365
2,42,1,185,4,8,8
2,75,1,115,2,20,282
2,29,2,62,2,22,87
2,215,1,95,3,36,89
3,95,1,165,2,21,347
2,14,3,50,3,15,365
2,92,1,120,2,27,280
4,105,2,70,2,0,188
2,14,3,110,3,28,34
2,92,2,50,2,30,249
3,74,2,160,3,24,352
2,14,2,51,3,4,188
3,65,2,180,3,5,31
3,93,1,225,1,3,188
2,32,1,157,6,1,24
2,215,1,220,4,22,8
3,203,1,200,6,22,354
3,96,1,140,3,25,157
3,202,1,230,3,20,282
2,14,2,85,1,32,340
2,215,2,120,6,15,9
2,14,2,89,1,21,365
2,159,2,64,2,35,329
2,215,1,150,2,11,364
2,215,2,98,2,7,273
2,29,2,70,1,18,146
2,82,1,149,4,33,313
3,210,1,249,3,10,5
3,210,1,170,4,1,273
2,159,1,225,5,6,188
3,95,1,170,5,25,177
4,5,2,75,4,19,10
2,42,1,235,6,5,3
2,160,2,75,5,8,365
2,52,1,85,3,10,149
2,52,2,78,3,10,95
2,215,2,63,2,0,66
1,48,2,85,2,11,363
3,65,2,95,5,35,320
2,14,1,150,2,17,23
3,95,2,45,2,18,197
4,55,2,200,1,16,364
3,95,2,95,2,27,320
3,87,2,80,3,7,217
2,29,2,60,2,10,18
4,5,1,160,2,13,56
2,14,2,80,1,14,283
5,187,1,190,2,0,365
3,207,1,175,2,0,280
3,35,1,160,4,5,168
3,87,1,250,4,23,11
2,215,1,175,6,32,291
3,146,1,209,1,23,365
2,81,1,150,2,21,3
4,55,2,73,1,6,363
3,146,2,89,3,29,190
2,92,2,50,2,36,232
3,207,2,45,5,20,244
2,191,1,120,3,13,201
2,81,2,99,5,4,250
3,120,2,115,3,29,339
3,93,1,200,2,26,188
3,35,1,175,3,19,194
3,203,2,135,3,13,219
4,106,2,133,1,0,281
2,86,2,49,1,9,98
3,62,2,47,1,6,353
3,95,2,94,1,30,218
2,92,2,152,5,13,241
4,190,2,65,2,12,332
3,203,1,239,4,3,184
3,207,1,70,6,19,188
3,120,1,130,2,32,184
2,61,2,89,2,0,365
3,35,1,248,2,9,363
3,207,2,90,1,33,189
2,42,2,75,3,11,318
3,65,1,125,2,28,179
3,65,2,148,3,14,365
3,128,1,200,1,7,358
3,207,2,55,5,4,218
3,76,2,135,1,17,365
4,55,1,110,3,23,14
2,14,2,60,3,13,294
2,215,1,220,5,0,234
2,215,1,275,4,27,197
2,14,2,59,3,13,100
2,109,2,75,2,8,312
2,53,2,42,3,28,355
2,29,2,60,2,11,296
2,109,1,250,5,11,34
2,215,2,135,4,12,365
3,202,1,250,3,0,10
3,203,3,165,3,21,363
2,215,2,120,5,6,66
2,217,1,150,1,1,129
3,74,1,269,5,18,179
2,215,2,125,2,4,364
3,131,1,94,2,1,3
2,81,2,175,2,5,334
3,87,2,109,5,5,22
3,203,2,150,1,28,364
2,42,2,55,1,3,343
2,215,1,199,3,6,12
2,42,1,160,3,24,365
3,202,1,235,2,10,345
2,14,1,225,4,5,365
3,207,2,82,1,6,334
3,207,2,82,1,5,311
2,159,1,215,3,2,189
3,113,1,145,2,26,269
2,183,2,78,3,24,28
2,75,1,120,3,13,327
4,161,2,80,1,5,363
3,35,1,199,3,35,69
2,215,1,150,2,24,296
2,81,2,65,2,14,275
1,112,2,90,3,0,353
2,215,2,79,2,11,73
2,52,2,100,2,8,156
3,131,2,75,2,20,29
2,215,2,85,3,2,89
4,118,1,145,2,30,278
3,65,1,210,5,11,8
3,210,2,220,1,2,364
2,152,1,140,2,24,255
3,146,2,105,1,16,308
3,207,1,99,3,5,365
3,35,1,180,4,28,280
2,52,1,250,5,25,220
2,92,2,45,4,7,88
2,163,1,125,3,23,77
2,29,2,58,5,31,297
2,14,2,75,2,33,201
2,14,2,275,3,20,257
3,35,1,200,3,0,345
4,118,1,138,1,4,41
2,14,2,75,5,13,3
2,75,3,29,2,5,321
4,5,2,75,6,0,180
3,104,2,100,2,7,36
2,75,1,171,2,34,243
2,14,2,72,3,0,365
2,215,2,138,1,0,29
4,16,3,150,2,0,365
2,29,1,95,4,21,98
3,210,1,220,2,13,3
2,75,2,69,4,34,68
2,159,2,68,3,11,187
4,186,2,59,1,19,359
3,192,2,169,2,33,340
2,14,1,120,4,26,10
4,186,2,59,1,14,359
4,186,2,59,1,32,359
2,215,2,110,3,23,159
3,120,2,125,1,1,364
3,95,2,100,2,15,326
2,152,1,190,3,17,167
2,191,2,66,2,4,365
2,215,2,70,2,31,20
2,29,2,47,5,21,56
2,215,1,165,4,10,49
2,31,2,85,3,1,132
3,179,1,150,1,2,207
2,92,2,50,2,11,157
3,65,1,156,2,31,3
3,65,1,199,2,29,361
4,221,2,75,2,25,365
3,203,1,125,1,15,362
3,95,2,99,2,30,24
4,186,2,59,1,8,359
4,5,2,120,3,12,365
2,14,2,87,1,4,12
3,128,2,249,3,1,87
3,120,1,150,3,19,9
3,202,1,140,6,36,71
2,61,1,90,1,5,361
3,131,1,125,2,21,363
2,29,2,65,5,1,169
2,14,2,212,3,1,109
2,215,3,40,1,34,75
3,93,1,226,3,25,80
3,179,1,275,2,6,5
5,177,1,75,3,19,258
3,87,1,250,5,5,358
2,14,1,96,2,14,50
3,131,2,220,1,0,365
2,14,2,65,3,2,365
4,124,1,200,4,24,157
1,214,2,50,1,19,311
2,92,2,50,2,13,282
2,64,2,75,3,34,341
2,29,1,159,3,11,77
2,92,2,110,5,7,300
3,207,2,80,2,28,327
2,29,1,110,3,23,67
2,75,1,49,2,23,262
3,74,2,99,4,11,365
3,128,2,119,2,27,325
3,202,2,99,1,20,278
2,92,1,199,2,25,5
3,199,1,180,3,18,72
4,5,2,100,3,4,364
3,96,1,109,2,26,139
3,93,1,260,5,13,167
1,136,2,43,2,11,338
3,202,1,199,1,29,339
3,95,2,90,2,17,177
3,202,1,225,4,10,348
3,35,2,90,3,6,11
2,52,2,75,1,0,58
2,215,2,99,3,19,310
3,198,1,184,4,22,12
2,215,2,65,1,10,73
2,215,1,190,2,11,331
1,43,2,75,2,32,363
2,215,2,45,2,14,36
2,215,1,245,2,14,65
3,131,2,100,2,12,252
2,26,1,275,5,16,12
2,14,2,75,1,19,289
3,62,2,75,3,22,177
3,95,2,140,1,0,365
3,145,1,175,2,25,273
2,14,2,53,3,35,113
2,75,2,70,3,3,188
3,95,1,149,4,35,16
2,29,1,201,2,8,177
2,61,2,119,2,23,311
3,65,1,103,2,29,55
2,32,1,180,2,29,45
3,95,1,150,5,29,260
2,52,2,175,5,0,359
3,179,1,209,2,7,265
2,32,1,240,3,14,199
3,96,1,200,2,6,20
3,138,1,195,4,31,78
2,14,1,149,2,20,355
2,159,1,275,4,19,205
2,92,1,70,5,2,26
2,86,2,200,2,0,365
2,215,2,70,3,30,364
3,87,1,249,4,26,281
2,75,1,70,4,26,81
2,215,1,159,1,15,194
3,120,2,228,1,2,365
2,61,2,67,5,17,308
3,95,2,45,4,7,32
3,62,2,90,3,7,310
3,35,1,225,2,0,17
4,5,1,130,4,17,347
3,96,1,140,5,17,2
2,215,2,100,1,1,44
3,128,2,85,4,29,13
3,95,2,90,3,1,177
2,86,1,130,5,36,224
3,62,2,85,2,36,288
2,81,2,69,2,12,6
3,113,1,195,4,30,4
3,35,1,251,5,26,14
2,215,1,200,1,1,320
3,65,1,170,2,7,312
2,215,2,89,1,25,78
2,183,1,199,2,31,220
2,215,2,100,3,15,358
3,96,1,250,5,7,314
3,202,2,120,1,12,206
3,179,1,162,2,18,247
3,104,2,45,2,36,188
2,29,2,79,1,13,315
2,217,1,200,4,20,279
3,203,2,105,1,31,365
2,215,2,85,2,7,207
4,5,1,149,3,19,291
4,118,2,72,3,26,307
3,65,1,140,5,25,13
2,29,2,50,2,2,35
2,81,1,120,2,4,42
3,203,1,199,5,8,9
2,52,1,88,2,14,16
3,95,2,45,4,19,42
2,215,2,45,1,17,354
3,138,1,175,2,31,33
1,119,2,65,4,26,7
2,14,2,100,1,0,220
2,159,2,75,1,0,188
3,203,2,150,3,10,42
2,215,1,210,3,7,343
2,29,2,79,1,20,285
4,124,1,64,3,7,333
2,14,2,55,5,8,270
3,203,1,200,6,4,364
3,65,1,250,4,34,239
4,5,2,47,5,11,162
3,207,2,62,2,4,336
2,29,2,99,2,8,88
4,190,2,60,1,10,184
2,32,1,125,5,2,196
3,202,1,100,6,29,128
3,95,2,60,2,13,33
2,160,2,100,2,13,365
3,95,1,112,3,22,313
3,96,1,150,5,9,6
2,29,2,55,2,1,157
3,210,1,156,1,8,300
2,14,1,85,4,9,1
3,95,2,65,2,2,114
2,215,2,65,4,8,19
2,215,2,45,2,26,241
3,207,2,55,2,17,34
3,202,1,220,3,20,31
1,112,2,75,2,11,365
2,29,1,120,5,11,2
2,29,1,100,3,10,10
3,95,2,95,1,4,270
3,65,1,200,1,28,341
3,203,2,89,3,7,10
2,42,1,219,4,21,31
3,203,2,67,1,21,331
4,190,1,120,2,5,81
4,106,2,65,2,13,362
3,128,2,250,3,6,170
2,14,2,75,3,5,334
4,164,1,88,3,33,262
2,29,2,49,4,4,8
3,202,1,225,2,3,88
3,95,2,60,3,11,365
2,160,1,250,5,7,195
3,179,2,150,3,30,4
4,167,2,45,2,27,190
3,96,1,100,1,0,4
2,75,2,200,1,30,362
1,112,3,32,2,6,83
2,42,2,239,1,16,363
2,215,1,179,5,22,336
2,215,1,250,5,21,284
2,75,3,30,5,34,288
2,52,2,60,1,35,333
3,207,2,112,2,20,179
2,92,1,200,3,2,205
2,52,2,55,4,21,129
1,180,2,50,2,32,156
2,75,1,79,2,8,6
3,199,2,65,3,8,123
3,62,1,125,3,2,249
2,92,2,75,1,35,306
2,92,1,154,1,7,213
3,95,2,80,3,3,178
2,86,1,180,6,1,26
2,14,2,86,2,20,35
2,92,2,145,2,21,64
2,215,2,100,2,16,341
3,95,2,72,2,27,183
4,9,2,90,3,8,324
3,95,2,60,1,19,356
2,29,1,98,4,32,8
2,160,2,45,2,3,151
2,21,2,49,3,0,180
3,95,2,100,6,13,308
2,29,1,120,2,15,61
2,191,2,52,3,5,281
2,20,1,250,6,6,56
2,8,1,125,5,0,213
2,75,2,70,1,7,176
1,43,2,80,3,2,365
2,81,1,235,4,23,31
2,183,1,110,1,5,85
3,120,2,105,3,21,20
4,55,1,95,3,25,6
2,32,2,150,4,0,257
2,92,1,125,3,16,60
2,92,2,52,5,7,342
4,164,2,55,2,12,89
2,14,1,65,1,1,98
3,207,2,85,2,24,318
3,95,1,90,5,16,3
2,29,1,85,5,32,38
2,163,1,200,2,17,81
1,156,2,71,4,18,45
2,29,2,75,2,26,266
3,202,1,275,3,7,157
3,93,1,265,3,6,29
3,96,1,200,4,36,248
2,215,1,135,5,33,76
3,203,2,155,5,24,88
3,65,2,100,1,1,365
2,20,1,160,5,0,24
3,65,2,250,3,0,365
2,29,2,69,3,19,238
3,128,1,200,4,7,32
3,95,2,55,5,0,90
3,93,1,150,3,33,107
2,183,1,195,6,11,13
3,95,2,75,1,3,126
4,5,2,149,1,10,365
3,113,1,180,4,5,184
2,14,1,151,3,34,308
3,36,2,87,4,9,89
3,179,1,250,2,18,9
4,13,2,70,1,13,220
2,42,2,179,1,8,365
3,35,2,235,1,34,135
2,52,2,60,2,2,83
2,52,2,66,1,6,41
3,207,2,185,2,34,365
2,75,1,100,6,2,202
2,215,1,200,4,15,95
2,29,1,175,5,5,107
5,187,1,175,3,22,39
1,49,2,50,1,21,188
2,191,3,80,1,7,90
3,146,2,115,2,9,332
3,95,2,75,3,5,325
2,139,1,152,2,3,12
3,120,1,150,1,32,3
2,21,1,199,4,4,37
2,215,1,200,2,2,157
2,92,2,126,2,15,105
3,95,2,50,2,2,321
4,78,2,59,3,35,158
3,65,2,240,2,8,93
3,95,2,150,1,2,87
3,95,3,200,1,8,180
3,202,1,250,5,22,7
3,202,2,147,1,25,10
3,87,2,199,1,0,365
4,5,1,200,5,22,188
2,152,1,270,3,6,12
2,159,1,275,4,19,34
2,183,2,85,2,23,363
2,52,2,125,2,36,7
2,52,2,120,2,8,162
3,95,2,70,3,16,209
2,81,1,215,5,28,106
1,73,2,75,5,35,300
2,215,2,99,3,22,11
2,81,2,120,3,1,365
3,146,2,125,6,3,43
2,183,1,120,3,8,9
3,113,2,60,2,15,188
3,202,1,16,2,21,9
3,35,2,90,3,2,53
2,152,1,90,4,22,13
2,152,1,250,3,16,6
3,95,2,155,2,14,172
4,5,2,70,3,25,353
3,146,1,250,3,30,173
3,203,2,135,2,0,352
3,87,1,275,5,30,20
4,218,1,250,5,0,32
2,92,2,69,2,25,125
2,29,2,65,1,0,5
3,35,1,160,4,11,1
3,207,2,80,1,1,351
2,26,2,110,2,1,189
2,61,2,150,1,0,299
3,202,1,185,5,18,31
3,96,1,175,1,1,347
2,52,2,72,3,6,83
2,52,2,70,2,10,68
2,26,1,220,5,3,186
3,207,2,69,3,18,270
3,95,2,54,5,21,187
3,207,2,50,5,24,177
3,207,2,51,6,20,258
2,215,1,250,1,7,170
2,159,1,150,3,25,18
4,190,2,48,2,33,113
3,179,1,180,5,9,87
4,118,2,70,3,1,342
2,159,1,140,3,12,4
2,14,1,175,3,1,365
3,202,2,99,1,21,82
3,202,1,255,2,1,341
2,52,1,98,5,11,188
2,215,2,150,1,0,364
2,152,1,149,2,19,28
3,120,2,69,2,36,5
2,14,1,175,3,4,365
4,55,2,100,2,2,365
2,215,2,77,6,17,188
2,26,1,155,5,7,17
2,81,1,250,3,20,323
3,95,1,129,4,17,64
3,120,1,151,2,5,46
3,95,2,70,2,28,80
4,80,1,150,1,0,364
3,95,3,200,1,31,365
2,215,1,200,1,14,336
2,160,1,140,5,7,14
3,207,2,80,1,3,314
2,52,2,99,2,8,365
3,95,2,45,6,13,346
2,159,1,129,3,15,204
2,75,2,91,3,33,90
3,65,2,65,2,13,157
2,183,1,192,4,6,8
4,118,1,120,6,25,346
1,48,2,105,1,3,365
4,161,1,125,1,30,158
3,131,2,150,1,13,273
2,217,1,140,5,28,192
2,159,1,175,2,25,2
2,160,1,80,3,24,19
2,14,1,100,3,36,89
4,55,2,85,1,31,84
4,169,2,113,2,36,365
2,129,2,49,2,26,362
2,92,1,110,3,34,12
2,52,2,55,4,27,261
2,14,2,250,2,0,365
2,29,2,55,2,20,19
3,203,1,200,4,22,2
2,14,2,100,1,2,365
2,52,2,99,5,27,365
2,14,1,99,3,10,66
2,14,2,45,5,8,247
2,29,2,68,5,12,14
3,131,2,85,5,25,198
2,29,2,110,1,16,345
2,159,1,120,2,21,13
2,14,2,40,1,8,335
3,95,3,115,1,16,365
3,93,2,170,1,20,364
3,95,2,85,3,0,88
3,207,3,100,2,0,363
3,104,2,39,1,13,233
3,210,1,200,4,17,35
4,186,1,239,3,11,355
3,35,1,195,2,31,10
4,190,2,50,5,6,54
3,95,1,125,1,10,297
3,210,1,265,4,21,334
2,31,2,45,3,23,327
2,14,2,72,2,36,71
2,215,1,90,4,17,4
2,215,1,120,5,18,188
3,202,2,80,5,18,118
2,191,1,135,3,15,10
2,14,2,72,5,0,88
2,29,2,50,4,3,79
3,65,1,250,4,28,4
4,69,2,170,1,4,90
3,203,2,250,1,6,365
3,95,2,80,4,27,196
4,78,2,95,2,2,267
1,119,2,100,3,2,207
3,65,2,129,4,32,365
2,215,2,90,1,10,365
2,183,2,75,3,14,347
2,61,2,95,2,7,365
3,95,1,145,1,23,219
2,61,2,81,2,4,364
2,75,2,59,2,12,189
3,65,1,117,3,7,7
2,75,2,95,3,0,365
4,5,2,65,2,16,302
1,40,1,155,1,19,332
1,40,2,75,2,0,349
3,95,2,39,4,33,292
2,14,1,210,2,10,180
2,61,2,60,2,6,326
2,8,1,130,3,1,83
2,215,2,89,2,30,219
4,105,1,200,2,0,364
3,95,3,75,1,6,315
3,120,1,180,6,24,51
3,95,1,226,3,8,303
4,5,2,65,2,5,2
4,5,2,250,2,22,123
3,120,2,170,5,22,259
2,152,1,100,2,18,58
3,93,2,99,2,21,268
2,14,1,150,5,18,254
4,5,2,99,1,15,322
3,207,2,75,2,25,198
2,215,2,140,5,1,185
4,5,2,69,4,22,311
2,92,2,65,2,26,6
2,92,1,174,2,31,12
2,14,2,89,2,24,339
4,151,2,58,1,2,364
4,118,2,76,1,14,225
2,14,2,100,3,0,352
3,36,1,225,3,2,221
2,64,1,110,3,9,36
2,42,1,145,3,16,96
2,29,2,120,2,11,365
2,14,1,150,5,14,363
3,179,1,125,1,0,1
2,14,1,155,3,1,342
2,14,2,52,2,29,335
2,217,2,58,4,18,58
2,92,2,100,1,36,335
4,80,2,70,1,11,183
2,52,2,38,2,12,351
3,87,1,200,3,13,157
3,138,2,175,2,8,177
3,65,1,175,3,6,18
2,109,2,50,3,8,14
2,14,2,67,2,21,58
2,14,2,57,2,22,71
2,75,1,85,3,12,97
2,14,2,86,2,11,311
4,80,2,65,4,20,133
4,190,2,79,3,23,88
3,35,1,115,3,33,11
2,31,1,225,2,11,305
2,215,2,99,3,19,354
4,55,2,90,3,17,340
2,29,2,65,1,32,188
3,95,1,131,3,10,12
2,215,2,150,1,12,180
3,95,2,86,3,34,359
2,52,2,100,1,0,83
3,95,1,110,4,26,14
2,29,1,95,2,19,172
2,14,2,35,2,11,11
2,215,1,150,4,17,170
2,81,1,178,3,11,32
2,52,1,210,6,27,302
2,52,2,75,2,25,365
2,14,3,30,2,13,339
4,5,1,110,3,3,342
3,128,2,260,2,1,177
3,198,1,215,2,23,187
2,52,1,110,2,32,264
1,40,3,45,1,7,365
3,65,1,199,4,8,232
3,96,1,259,4,25,255
2,31,1,210,3,11,83
4,118,2,58,1,33,101
4,118,1,190,1,34,182
3,95,1,133,1,20,345
3,95,1,94,1,23,316
2,14,1,102,1,10,4
4,5,2,70,3,2,23
3,131,2,107,6,12,251
2,92,1,137,5,26,344
4,118,2,97,2,14,90
4,5,1,180,2,7,90
3,120,1,180,3,5,226
2,61,2,55,4,10,100
3,62,1,120,3,6,279
3,65,1,230,3,12,4
4,15,2,110,2,1,325
4,80,2,50,1,1,183
4,80,2,55,1,13,281
2,160,1,120,3,3,16
2,160,2,90,4,12,365
2,81,1,239,3,19,257
2,215,1,120,2,19,11
2,14,1,103,2,5,211
3,95,2,165,2,6,363
3,65,2,105,2,9,191
3,104,2,57,4,0,4
3,65,2,100,6,10,200
2,183,2,84,2,11,87
2,61,1,100,2,1,363
1,112,2,57,3,20,311
2,14,1,250,1,4,165
2,75,2,79,3,35,336
3,95,1,149,3,28,329
2,14,1,125,3,24,69
2,14,1,135,3,15,89
2,29,1,120,3,4,157
2,215,2,139,2,6,36
3,202,2,69,2,11,240
3,87,2,250,1,4,365
2,77,1,125,3,2,161
2,14,1,227,1,17,362
